,% of NaN
평균기온,21.53568539605501
최저기온,21.50768464936843
최고기온,21.504573455292142
일강수량,21.48590629083442
최대풍속,21.504573455292142
평균풍속,21.526351813826146
수위_DAY,0.7902432953767656
유량_DAY,5.155248584406695
수온,18.925393566050648
용존산소,20.8698898637297
총유기탄소,25.45267873809968
클로로필,20.85433389334827
보방류량_DAY,1.8511604753904547
보유입량_DAY,1.8667164457718872
보저수량_DAY,0.018667164457718873
보저수위_DAY,0.0
수온_WEK,23.931304834795593
pH_WEK,23.931304834795593
DO_WEK,23.931304834795593
Chl-a _WEK,23.931304834795593
유해남조류세포수,19.91475328230975
유해남조류세포수_Y,19.91475328230975
